epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,2986.36,1.12954,0.89131,1.30909,0.86428,0.82888,0.91149,0.64467,0.98105,0.62367,1.11909,0.000726312,0.000726312,0.000726312
116,3010.34,1.13039,0.88989,1.30596,0.88316,0.80751,0.90649,0.64178,0.99795,0.63075,1.13754,0.00071806,0.00071806,0.00071806
117,3033.89,1.13716,0.90983,1.31288,0.8744,0.81725,0.90116,0.63467,0.99969,0.62415,1.13747,0.000709809,0.000709809,0.000709809
118,3056.15,1.13032,0.90055,1.31842,0.87325,0.82596,0.9049,0.63404,0.99706,0.63378,1.12099,0.000701557,0.000701557,0.000701557
119,3081.51,1.13014,0.88716,1.31173,0.85322,0.84686,0.90923,0.64738,0.97943,0.61685,1.12985,0.000693305,0.000693305,0.000693305
120,3106.92,1.13886,0.8757,1.31576,0.8777,0.83193,0.9075,0.63911,1.00605,0.61846,1.13196,0.000685054,0.000685054,0.000685054
121,3130.83,1.1296,0.88532,1.31165,0.87866,0.82375,0.90593,0.6383,0.99378,0.61258,1.14026,0.000676802,0.000676802,0.000676802
122,3153.23,1.15296,0.88303,1.32563,0.86801,0.82831,0.8967,0.62442,1.00499,0.66455,1.14639,0.00066855,0.00066855,0.00066855
123,3177.19,1.1353,0.88946,1.31284,0.87306,0.82251,0.90096,0.63694,0.98844,0.64839,1.14047,0.000660299,0.000660299,0.000660299
124,3201.2,1.14675,0.86722,1.2993,0.8783,0.83486,0.9108,0.6443,0.98473,0.61377,1.13167,0.000652047,0.000652047,0.000652047
125,3226.51,1.14283,0.87148,1.29785,0.87403,0.8225,0.90202,0.64328,0.97767,0.6288,1.12322,0.000643795,0.000643795,0.000643795
126,3249.29,1.12262,0.88114,1.31193,0.86827,0.83309,0.9014,0.64242,0.97751,0.6261,1.12304,0.000635544,0.000635544,0.000635544
127,3273.08,1.13608,0.88336,1.3122,0.869,0.83198,0.90978,0.65271,0.97116,0.62256,1.13433,0.000627292,0.000627292,0.000627292
128,3298.61,1.12615,0.87349,1.30906,0.86053,0.82758,0.90324,0.64478,0.97051,0.62334,1.12366,0.00061904,0.00061904,0.00061904
129,3322,1.10282,0.85,1.29716,0.87651,0.81791,0.90893,0.65189,0.95911,0.6252,1.12172,0.000610789,0.000610789,0.000610789
130,3344.67,1.1356,0.8752,1.30726,0.87054,0.83217,0.91074,0.64545,0.9731,0.60966,1.12093,0.000602537,0.000602537,0.000602537
131,3368.55,1.14158,0.88632,1.31881,0.86724,0.83315,0.9122,0.65243,0.96338,0.61064,1.12152,0.000594286,0.000594286,0.000594286
132,3395.23,1.12297,0.87246,1.31041,0.86693,0.83392,0.90275,0.64825,0.95806,0.63432,1.12123,0.000586034,0.000586034,0.000586034
133,3418.29,1.12211,0.86654,1.31252,0.88853,0.81785,0.90797,0.64979,0.96176,0.60814,1.1216,0.000577782,0.000577782,0.000577782
134,3441.2,1.11265,0.86711,1.30685,0.87167,0.83693,0.91318,0.65594,0.95991,0.60173,1.12665,0.000569531,0.000569531,0.000569531
135,3467.18,1.12583,0.86975,1.30767,0.89985,0.80858,0.91081,0.65388,0.96735,0.59228,1.12458,0.000561279,0.000561279,0.000561279
136,3491.53,1.12944,0.87332,1.30854,0.86958,0.82568,0.90917,0.65715,0.95723,0.6037,1.11677,0.000553027,0.000553027,0.000553027
137,3517,1.11062,0.86397,1.29094,0.87838,0.81226,0.90118,0.64646,0.9589,0.60792,1.12617,0.000544776,0.000544776,0.000544776
138,3541.11,1.10396,0.86063,1.30161,0.86975,0.82795,0.90954,0.65125,0.95888,0.59856,1.12295,0.000536524,0.000536524,0.000536524
139,3564.88,1.11713,0.87931,1.31297,0.85052,0.84681,0.91224,0.65879,0.94669,0.58671,1.12445,0.000528272,0.000528272,0.000528272
140,3590.02,1.08584,0.85358,1.28664,0.85808,0.84209,0.91215,0.65612,0.96004,0.59178,1.11877,0.000520021,0.000520021,0.000520021
141,3613.69,1.10214,0.84637,1.30757,0.88397,0.82084,0.91231,0.65763,0.95514,0.59305,1.11809,0.000511769,0.000511769,0.000511769
142,3636.2,1.11262,0.8655,1.30882,0.87488,0.83694,0.91289,0.66183,0.95296,0.58529,1.12431,0.000503517,0.000503517,0.000503517
143,3661.47,1.10129,0.85897,1.30643,0.85966,0.84258,0.91111,0.65546,0.96276,0.59889,1.12754,0.000495266,0.000495266,0.000495266
144,3686.81,1.11775,0.84959,1.29963,0.85529,0.84192,0.91484,0.6584,0.9521,0.59417,1.12255,0.000487014,0.000487014,0.000487014
145,3710.22,1.11178,0.8783,1.30189,0.85036,0.83879,0.91334,0.6574,0.95941,0.5846,1.12783,0.000478762,0.000478762,0.000478762
146,3733.1,1.09305,0.84373,1.28963,0.87155,0.84405,0.91609,0.66225,0.95546,0.58465,1.12372,0.000470511,0.000470511,0.000470511
147,3758.63,1.09439,0.83055,1.28974,0.86943,0.8352,0.91151,0.65998,0.95258,0.57882,1.11611,0.000462259,0.000462259,0.000462259
148,3782.88,1.1101,0.86498,1.29963,0.86661,0.84846,0.91297,0.65583,0.95186,0.58718,1.11119,0.000454007,0.000454007,0.000454007
149,3806.23,1.09985,0.85415,1.2928,0.87999,0.83405,0.91013,0.65437,0.94722,0.58424,1.11177,0.000445756,0.000445756,0.000445756
150,3829.62,1.09887,0.83444,1.29483,0.86026,0.83108,0.90498,0.65088,0.95427,0.59983,1.11941,0.000437504,0.000437504,0.000437504
151,3855.6,1.07826,0.83586,1.28136,0.8742,0.83442,0.91262,0.65735,0.95516,0.59502,1.12382,0.000429253,0.000429253,0.000429253
152,3879.84,1.09886,0.82887,1.28214,0.87468,0.84726,0.91789,0.66361,0.93365,0.577,1.10249,0.000421001,0.000421001,0.000421001
153,3905.42,1.08922,0.83405,1.29055,0.8781,0.8349,0.91634,0.66424,0.9444,0.57718,1.106,0.000412749,0.000412749,0.000412749
154,3929.68,1.10155,0.84077,1.28825,0.87935,0.84283,0.92213,0.66843,0.94223,0.57092,1.11494,0.000404498,0.000404498,0.000404498
155,3954.54,1.07734,0.83042,1.28019,0.88875,0.82237,0.9222,0.66842,0.94028,0.57507,1.09745,0.000396246,0.000396246,0.000396246
156,3980.24,1.10558,0.85712,1.2919,0.851,0.8457,0.91304,0.66001,0.94782,0.58174,1.09948,0.000387994,0.000387994,0.000387994
157,4005.69,1.08144,0.83281,1.27863,0.88378,0.83164,0.91911,0.66667,0.9394,0.57237,1.10373,0.000379743,0.000379743,0.000379743
158,4029.81,1.09778,0.84799,1.29152,0.87675,0.83754,0.91967,0.6667,0.94121,0.57605,1.1056,0.000371491,0.000371491,0.000371491
159,4052.36,1.05827,0.8219,1.27921,0.86753,0.84116,0.91722,0.66897,0.93606,0.57111,1.09443,0.000363239,0.000363239,0.000363239
160,4077.93,1.08315,0.83573,1.28276,0.8635,0.84304,0.91636,0.66544,0.93953,0.57713,1.10411,0.000354988,0.000354988,0.000354988
161,4101.88,1.09104,0.84387,1.27699,0.86985,0.84686,0.91943,0.66844,0.93517,0.5671,1.1005,0.000346736,0.000346736,0.000346736
